DATE,MORTGAGE30US
4/1/1971,7.31
5/1/1971,7.425
6/1/1971,7.53
7/1/1971,7.604
8/1/1971,7.6975
9/1/1971,7.6875
10/1/1971,7.628
11/1/1971,7.55
12/1/1971,7.48
1/1/1972,7.4375
2/1/1972,7.325
3/1/1972,7.298
4/1/1972,7.29
5/1/1972,7.3725
6/1/1972,7.372
7/1/1972,7.395
8/1/1972,7.4
9/1/1972,7.42
10/1/1972,7.42
11/1/1972,7.4275
12/1/1972,7.442
1/1/1973,7.4375
2/1/1973,7.44
3/1/1973,7.458
4/1/1973,7.5425
5/1/1973,7.6525
6/1/1973,7.734
7/1/1973,8.05
8/1/1973,8.496
9/1/1973,8.815
10/1/1973,8.77
11/1/1973,8.582
12/1/1973,8.5375
1/1/1974,8.54
2/1/1974,8.455
3/1/1974,8.406
4/1/1974,8.5825
5/1/1974,8.972
6/1/1974,9.085
7/1/1974,9.28
8/1/1974,9.586
9/1/1974,9.9575
10/1/1974,9.9775
11/1/1974,9.788
12/1/1974,9.615
1/1/1975,9.432
2/1/1975,9.105
3/1/1975,8.9025
4/1/1975,8.82
5/1/1975,8.906
6/1/1975,8.8925
7/1/1975,8.89
8/1/1975,8.942
9/1/1975,9.13
10/1/1975,9.224
11/1/1975,9.145
12/1/1975,9.0975
1/1/1976,9.016
2/1/1976,8.8125
3/1/1976,8.755
4/1/1976,8.73
5/1/1976,8.765
6/1/1976,8.8475
7/1/1976,8.934
8/1/1976,9
9/1/1976,8.9775
10/1/1976,8.93
11/1/1976,8.8125
12/1/1976,8.792
1/1/1977,8.7225
2/1/1977,8.67
3/1/1977,8.6875
4/1/1977,8.752
5/1/1977,8.8275
6/1/1977,8.8575
7/1/1977,8.942
8/1/1977,8.94
9/1/1977,8.896
10/1/1977,8.9225
11/1/1977,8.9225
12/1/1977,8.96
1/1/1978,9.015
2/1/1978,9.145
3/1/1978,9.202
4/1/1978,9.355
5/1/1978,9.5725
6/1/1978,9.708
7/1/1978,9.74
8/1/1978,9.785
9/1/1978,9.756
10/1/1978,9.8575
11/1/1978,10.1075
12/1/1978,10.346
1/1/1979,10.39
2/1/1979,10.4075
3/1/1979,10.426
4/1/1979,10.4975
5/1/1979,10.69
6/1/1979,11.036
7/1/1979,11.0925
8/1/1979,11.094
9/1/1979,11.3
10/1/1979,11.6375
11/1/1979,12.83
12/1/1979,12.9
1/1/1980,12.8775
2/1/1980,13.04
3/1/1980,15.2825
4/1/1980,16.325
5/1/1980,14.262
6/1/1980,12.71
7/1/1980,12.1925
8/1/1980,12.56
9/1/1980,13.1975
10/1/1980,13.792
11/1/1980,14.205
12/1/1980,14.79
1/1/1981,14.904
2/1/1981,15.1325
3/1/1981,15.4
4/1/1981,15.58
5/1/1981,16.402
6/1/1981,16.695
7/1/1981,16.832
8/1/1981,17.285
9/1/1981,18.16
10/1/1981,18.454
11/1/1981,17.825
12/1/1981,16.946
1/1/1982,17.485
2/1/1982,17.5975
3/1/1982,17.16
4/1/1982,16.892
5/1/1982,16.6775
6/1/1982,16.6975
7/1/1982,16.816
8/1/1982,16.27
9/1/1982,15.43
10/1/1982,14.608
11/1/1982,13.825
12/1/1982,13.624
1/1/1983,13.2475
2/1/1983,13.0425
3/1/1983,12.8
4/1/1983,12.782
5/1/1983,12.6325
6/1/1983,12.87
7/1/1983,13.422
8/1/1983,13.81
9/1/1983,13.726
10/1/1983,13.535
11/1/1983,13.435
12/1/1983,13.42
1/1/1984,13.3675
2/1/1984,13.2325
3/1/1984,13.386
4/1/1984,13.6525
5/1/1984,13.9425
6/1/1984,14.416
7/1/1984,14.6675
8/1/1984,14.47
9/1/1984,14.35
10/1/1984,14.13
11/1/1984,13.638
12/1/1984,13.18
1/1/1985,13.075
2/1/1985,12.92
3/1/1985,13.17
4/1/1985,13.195
5/1/1985,12.914
6/1/1985,12.215
7/1/1985,12.0325
8/1/1985,12.186
9/1/1985,12.1925
10/1/1985,12.135
11/1/1985,11.784
12/1/1985,11.26
1/1/1986,10.886
2/1/1986,10.71
3/1/1986,10.08
4/1/1986,9.9375
5/1/1986,10.144
6/1/1986,10.6825
7/1/1986,10.5075
8/1/1986,10.2
9/1/1986,10.0075
10/1/1986,9.974
11/1/1986,9.695
12/1/1986,9.31
1/1/1987,9.204
2/1/1987,9.0825
3/1/1987,9.035
4/1/1987,9.8325
5/1/1987,10.596
6/1/1987,10.5375
7/1/1987,10.278
8/1/1987,10.33
9/1/1987,10.8875
10/1/1987,11.26
11/1/1987,10.65
12/1/1987,10.64
1/1/1988,10.3825
2/1/1988,9.8925
3/1/1988,9.93
4/1/1988,10.202
5/1/1988,10.455
6/1/1988,10.46
7/1/1988,10.432
8/1/1988,10.5975
9/1/1988,10.48
10/1/1988,10.3025
11/1/1988,10.265
12/1/1988,10.612
1/1/1989,10.73
2/1/1989,10.645
3/1/1989,11.032
4/1/1989,11.05
5/1/1989,10.7725
6/1/1989,10.196
7/1/1989,9.8825
8/1/1989,9.985
9/1/1989,10.126
10/1/1989,9.9475
11/1/1989,9.7675
12/1/1989,9.744
1/1/1990,9.895
2/1/1990,10.1975
3/1/1990,10.268
4/1/1990,10.37
5/1/1990,10.4775
6/1/1990,10.164
7/1/1990,10.035
8/1/1990,10.1
9/1/1990,10.175
10/1/1990,10.1775
11/1/1990,10.014
12/1/1990,9.6725
1/1/1991,9.6375
2/1/1991,9.365
3/1/1991,9.5
4/1/1991,9.4925
5/1/1991,9.472
6/1/1991,9.615
7/1/1991,9.575
8/1/1991,9.244
9/1/1991,9.0075
10/1/1991,8.855
11/1/1991,8.712
12/1/1991,8.4975
1/1/1992,8.432
2/1/1992,8.7625
3/1/1992,8.935
4/1/1992,8.8525
5/1/1992,8.672
6/1/1992,8.51
7/1/1992,8.128
8/1/1992,7.975
9/1/1992,7.9225
10/1/1992,8.088
11/1/1992,8.305
12/1/1992,8.206
1/1/1993,7.9925
2/1/1993,7.6825
3/1/1993,7.495
4/1/1993,7.472
5/1/1993,7.465
6/1/1993,7.4175
7/1/1993,7.206
8/1/1993,7.1125
9/1/1993,6.915
10/1/1993,6.834
11/1/1993,7.155
12/1/1993,7.172
1/1/1994,7.06
2/1/1994,7.1525
3/1/1994,7.675
4/1/1994,8.316
5/1/1994,8.5975
6/1/1994,8.3975
7/1/1994,8.614
8/1/1994,8.5125
9/1/1994,8.64
10/1/1994,8.925
11/1/1994,9.17
12/1/1994,9.198
1/1/1995,9.1475
2/1/1995,8.8275
3/1/1995,8.462
4/1/1995,8.32
5/1/1995,7.955
6/1/1995,7.566
7/1/1995,7.6075
8/1/1995,7.86
9/1/1995,7.636
10/1/1995,7.475
11/1/1995,7.3775
12/1/1995,7.2
1/1/1996,7.03
2/1/1996,7.075
3/1/1996,7.624
4/1/1996,7.925
5/1/1996,8.07
6/1/1996,8.32
7/1/1996,8.245
8/1/1996,8.002
9/1/1996,8.23
10/1/1996,7.915
11/1/1996,7.618
12/1/1996,7.5975
1/1/1997,7.824
2/1/1997,7.65
3/1/1997,7.8975
4/1/1997,8.1425
5/1/1997,7.944
6/1/1997,7.69
7/1/1997,7.4975
8/1/1997,7.48
9/1/1997,7.43
10/1/1997,7.294
11/1/1997,7.205
12/1/1997,7.095
1/1/1998,6.994
2/1/1998,7.0425
3/1/1998,7.1275
4/1/1998,7.14
5/1/1998,7.144
6/1/1998,6.9975
7/1/1998,6.952
8/1/1998,6.9225
9/1/1998,6.7225
10/1/1998,6.71
11/1/1998,6.865
12/1/1998,6.738
1/1/1999,6.785
2/1/1999,6.8075
3/1/1999,7.04
4/1/1999,6.916
5/1/1999,7.145
6/1/1999,7.55
7/1/1999,7.632
8/1/1999,7.9425
9/1/1999,7.8225
10/1/1999,7.852
11/1/1999,7.7375
12/1/1999,7.912
1/1/2000,8.21
2/1/2000,8.325
3/1/2000,8.24
4/1/2000,8.1525
5/1/2000,8.515
6/1/2000,8.288
7/1/2000,8.1475
8/1/2000,8.0275
9/1/2000,7.912
10/1/2000,7.795
11/1/2000,7.745
12/1/2000,7.382
1/1/2001,7.0325
2/1/2001,7.05
3/1/2001,6.952
4/1/2001,7.0775
5/1/2001,7.145
6/1/2001,7.16
7/1/2001,7.1275
8/1/2001,6.95
9/1/2001,6.8175
10/1/2001,6.6175
11/1/2001,6.658
12/1/2001,7.065
1/1/2002,6.9975
2/1/2002,6.8925
3/1/2002,7.014
4/1/2002,6.985
5/1/2002,6.806
6/1/2002,6.65
7/1/2002,6.485
8/1/2002,6.29
9/1/2002,6.0925
10/1/2002,6.1125
11/1/2002,6.068
12/1/2002,6.0475
1/1/2003,5.916
2/1/2003,5.8425
3/1/2003,5.745
4/1/2003,5.8125
5/1/2003,5.484
6/1/2003,5.23
7/1/2003,5.6325
8/1/2003,6.264
